Team Number,Av Auto Points,Av TO Points,Av EG Points,Av Foul Count,Av Foul Points,Av Total Points,Av Enemy TO,Taxi Robot,None End game,Low End game,Mid End game,High End game,Traversal EG,Most Common,,Pos,Ranking,Best Teams
263,11.2,44.78,21.7,0.5,1.6,54.8,41.36,89.09%,23.64%,0.0%,0.0%,0.0%,76.36%,Traversal,,1,694,870
271,11.6,30.24,10.3,0.8,3.6,44.5,30.47,92.73%,100.0%,0.0%,0.0%,0.0%,0.0%,None,,2,870,694
287,16.4,38.93,17.6,0.8,2.0,56.6,39.31,92.73%,23.64%,0.0%,0.0%,9.09%,67.27%,Traversal,,3,1468,1468
333,11.8,34.93,14.4,0.8,5.2,49.5,41.22,45.45%,30.91%,0.0%,29.09%,40.0%,0.0%,High,,4,2601,2791
353,14.6,32.67,13.2,1.1,5.6,51.4,41.89,70.91%,58.18%,5.45%,36.36%,0.0%,0.0%,None,,5,2791,1796
426,11.6,31.65,10.5,0.7,4.8,48.3,41.58,94.55%,85.45%,0.0%,0.0%,14.55%,0.0%,None,,6,3950,3950
514,15.8,34.07,12.6,0.5,3.6,51.6,32.65,87.27%,21.82%,0.0%,78.18%,0.0%,0.0%,Mid,,7,5736,5736
527,11.8,43.89,21.7,0.7,2.0,58.0,38.96,69.09%,25.45%,0.0%,0.0%,21.82%,52.73%,Traversal,,8,3171,2601
533,10.2,25.15,8.9,0.4,4.0,40.4,39.04,100.0%,40.0%,0.0%,60.0%,0.0%,0.0%,Mid,,9,527,2872
564,13.0,31.84,14.0,0.5,5.2,53.4,40.22,100.0%,41.82%,0.0%,58.18%,0.0%,0.0%,Mid,,10,1796,3171
601,15.0,30.0,13.7,1.0,4.0,49.1,40.98,81.82%,100.0%,0.0%,0.0%,0.0%,0.0%,None,,11,514,527
694,24.2,64.51,23.3,1.0,4.8,94.1,33.91,94.55%,1.82%,0.0%,0.0%,16.36%,81.82%,Traversal,,12,6806,2869
810,13.2,35.25,11.3,0.7,2.4,50.3,37.93,76.36%,58.18%,0.0%,41.82%,0.0%,0.0%,None,,13,287,287
870,19.4,66.2,16.8,1.2,6.0,95.2,26.25,100.0%,23.64%,12.73%,0.0%,63.64%,0.0%,High,,14,2872,7444
871,11.6,39.45,23.0,1.5,2.4,55.0,39.75,100.0%,5.45%,0.0%,1.82%,10.91%,81.82%,Traversal,,15,7717,871
884,10.8,36.2,8.2,0.9,4.4,47.0,40.78,45.45%,58.18%,0.0%,41.82%,0.0%,0.0%,None,,16,2875,263
1468,17.09,46.12,14.73,0.91,6.18,72.45,40.95,100.0%,18.18%,45.45%,36.36%,0.0%,0.0%,Low,,17,564,6806
1554,14.0,30.55,12.9,0.9,3.2,51.8,44.29,98.18%,21.82%,0.0%,78.18%,0.0%,0.0%,Mid,,18,7444,7717
1751,9.4,23.13,8.7,0.5,2.4,37.5,46.67,21.82%,85.45%,0.0%,0.0%,0.0%,14.55%,None,,19,333,2875
1796,18.36,41.41,9.36,1.09,3.27,69.73,36.06,72.73%,84.85%,0.0%,0.0%,10.61%,4.55%,None,,20,871,564
2601,14.0,46.47,19.4,1.3,1.6,61.5,34.51,100.0%,12.73%,0.0%,0.0%,25.45%,61.82%,Traversal,,21,601,1554
2791,17.4,46.51,14.4,0.9,5.2,72.4,39.11,100.0%,21.82%,27.27%,38.18%,12.73%,0.0%,Mid,,22,2869,514
2869,13.6,39.8,15.9,1.3,2.0,57.3,35.67,81.82%,29.09%,14.55%,54.55%,0.0%,1.82%,Mid,,23,263,353
2872,13.8,48.45,12.8,0.9,1.6,61.3,38.29,83.64%,72.73%,0.0%,27.27%,0.0%,0.0%,None,,24,1554,810
2875,13.2,38.45,10.3,0.5,4.4,53.6,36.35,87.27%,76.36%,0.0%,5.45%,18.18%,0.0%,None,,25,5099,5099
3171,14.6,37.47,13.8,0.3,3.2,59.9,34.29,83.64%,32.73%,0.0%,29.09%,38.18%,0.0%,High,,26,7718,333
3624,10.0,28.18,11.4,0.5,2.0,41.6,36.24,100.0%,65.45%,0.0%,34.55%,0.0%,0.0%,None,,27,426,601
3950,18.18,45.29,17.27,0.73,4.36,69.27,30.03,89.39%,0.0%,0.0%,57.58%,7.58%,34.85%,None Low ,,28,810,7718
5099,14.0,39.36,14.8,0.8,2.4,50.3,40.4,89.09%,52.73%,12.73%,34.55%,0.0%,0.0%,None,,29,8739,426
5298,12.4,31.29,8.1,0.8,1.6,47.1,35.76,100.0%,60.0%,0.0%,40.0%,0.0%,0.0%,None,,30,884,5298
5599,8.8,26.2,10.2,1.1,2.4,36.3,32.0,30.91%,61.82%,18.18%,20.0%,0.0%,0.0%,None,,31,6969,884
5736,15.6,48.78,14.3,0.7,4.0,65.3,37.33,100.0%,16.36%,0.0%,9.09%,74.55%,0.0%,High,,32,353,271
6024,10.6,27.38,11.5,0.5,3.2,41.9,39.91,92.73%,83.64%,0.0%,16.36%,0.0%,0.0%,None,,33,7759,8739
6806,15.8,37.29,10.0,0.4,4.4,54.8,40.36,76.36%,70.91%,0.0%,29.09%,0.0%,0.0%,None,,34,5599,7759
6969,9.4,33.82,8.7,0.3,3.6,41.8,35.55,18.18%,89.09%,0.0%,10.91%,0.0%,0.0%,None,,35,7318,7318
7318,10.8,28.44,10.8,1.0,3.2,42.7,42.18,78.18%,72.73%,0.0%,27.27%,0.0%,0.0%,None,,36,3624,6024
7444,12.8,40.98,16.1,0.9,3.2,55.6,40.8,78.18%,61.82%,0.0%,5.45%,1.82%,30.91%,None,,37,533,6969
7717,11.8,37.93,14.7,1.8,3.2,54.3,31.18,61.82%,12.73%,16.36%,70.91%,0.0%,0.0%,Mid,,38,271,3624
7718,13.4,32.55,14.1,0.6,2.4,48.9,37.09,100.0%,27.27%,0.0%,72.73%,0.0%,0.0%,Mid,,39,6024,533
